0,18 MAY 2020,週刊AWS – 2020/5/11週 | Amazon Web Services ブログ,みなさん、こんにちは。ソリューションアーキテクトの下佐粉です。 今週も週刊AWSをお届けします。 前々号で書いたように、最近オーディオインターフェースとダイナミックマイクを使ってみているのですが、実に奥が深いですね。オーディオインターフェースやその付属ソフトで設定可能な項目も多いですし、録音ファイルのノーマライズとかノイズ除去などでも、まだまだ知らない世界が広がっている感じです。色々試しているうちにコンデンサーマイクとの違いも試してみたいなとか思って、必要も無いのに安いのを１つ買ってしまいました。これが沼の入り口なのでしょうか… それでは、先週の主なアップデートについて振り返っていきましょう。  今月27日にBIサービスのAmazon QuiCkSightの基礎ハンズオンを実施予定なのですが、おかげさまですぐに定員が埋まってしまいました。そこで今後も定期的にQuickSightのハンズオンを実施していく予定にしています。 – 【オンラインセミナー】Amazon QuickSight ハンズオンセミナー ～セルフBIサービス・販売管理ダッシュボード編～ それでは、また来週！ ソリューションアーキテクト 下佐粉 昭 (twitter – @simosako)。
1,18 MAY 2020,NVIDIA DeepStream on JetsonモジュールをAWS IoT CoreとAWS IoT Greengrassと統合する方法 | Amazon Web Services ブログ,AWSはコンシューマ製品や製造設備などのエッジデバイスにAWSのサービスを拡張し、インテリジェントに行動できるようにするべく必要な技術をお客様に提供するために、エッジコンピューティングの提供を継続的に進化させています。これにより、お客様は不要なコストやレイテンシーを回避し、エッジデバイスを安全かつ効率的に管理できるようになります。 AWS IoT Greengrassを利用して、AWSクラウドテクノロジーをエッジデバイスに拡張することにより、生成されたデータに対しローカルでアクションを起こしつつ、クラウドでリアルタイムのデータ分析、データの保存と可視化、機械学習モデルの精度の高いトレーニングを行うことが出来ます。AWSはエッジからクラウドまでのテクノロジーソリューションを提供するだけでなく、世界中のさまざまなデバイスプロバイダーと連携し、お客様の特定のユースケースに合わせて適切なハードウェアを選択できるようにしています。 NVIDIA DeepStream SDKは、インテリジェントなビデオ分析アプリやサービスを構築することを促進ためのフレームワークです。NVIDIA Jetson製品を使用することで、お客様はエッジで動作するデバイスにサーバークラスの計算性能を拡張することができます。次の図は、この投稿でデモしたソリューションのアーキテクチャを示しています。以下の設定ファイルを利用することをおすすめします。AWS IoT GreengrassはDiscovery APIも提供しており、デバイスと同じGreengrassグループ内にあるAWS IoT Greengrassコアに接続するために必要な情報をデバイスから取得することができます。この仕組をどのように利用したか、ぜひお聞かせください。
2,18 MAY 2020,CDK for Kubernetes のご紹介 | Amazon Web Services ブログ,Kubernetes では、手作業による処理を置き換える自動ツールの構築、インフラストラクチャのあらゆる部分での運用パイプラインの実装、アプリケーションの実行方法をきめ細かく制御できるよう開発チームの支援が可能です。 従来であれば、Kubernetes アプリケーションは人間が読める静的 YAML データファイルで定義され、これを作成し管理するのは開発者の仕事でした。AWS CDK はコンポーザブルなため、設定やボイラープレートの詳細を簡単に抽象化できる点も好評です。これは、使い慣れたプログラミング言語で Kubernetes アプリケーションと再利用可能なコンポーネントを定義できる新しいオープンソースプロジェクトです。つまり、オンプレミスとクラウドの両方で実行している任意の Kubernetes クラスターのアプリケーションを定義できるのです。 オープンソース: cdk8s はオープンソースで、コミュニティからの協力を歓迎しています。私たちは AWS のお客様だけでなく、Kubernetes コミュニティ全体のために cdk8s を構築しました。これを合成すると、クラスターに適用できる使い慣れた YAML 出力が作成されます。 cdk8s は、Kubernetes コミュニティ全体のために構築されたオープンソースプロジェクトです。 AWS はこのプロジェクトにとても期待しています。
3,18 MAY 2020,Amazon EMR、AWS Glue、Amazon QuickSight を使用して自動データプロファイリングおよびレポートソリューションを構築する | Amazon Web Services ブログ,﻿ 典型的な分析パイプラインでは、データレイクにデータをインポートした後に通常実行する最初のタスクの 1 つは、データプロファイリングと高レベルのデータ品質分析です。これにより、データセットのコンテンツをチェックします。このようにして、テーブル名、列名とそのタイプなどの情報を含む基本的なメタデータを充実させることができます。 データプロファイリングの結果は、データセットに予期した情報が含まれているかどうか、およびそれらを分析パイプラインのダウンストリームでどのように使用するかを決定するのに役立ちます。さらに、これらの結果は、オプションのデータセマンティクス分析ステージへの入力情報の 1 つとして使用できます。 最新のデータレイクには膨大な量のさまざまなタイプのデータがあり、構造化されていない手動のデータプロファイリングとデータセマンティクスの分析は非現実的で時間がかかります。テーブルのメタデータには、テーブル名とその他の属性、列の名前とタイプ、データを含むファイルの物理的な場所などの情報が含まれています。 これで、データカタログにデータベースとテーブルのメタデータを作成する準備ができました。 最初のステップは、AWS Glue でデータベsースを作成することです。これには、Deequ ライブラリで計算されたテーブル内のレコード数が含まれています。
4,18 MAY 2020,AWS と Red Hat がコラボレーションを拡大: 新たに提供する AWS でのマネージド Red Hat OpenShift サービスを発表 | Amazon Web Services ブログ,﻿ AWS は、コンテナ化されたアプリケーションを実行するための最良の選択肢を提供しています。Amazon Elastic Container Service (ECS) のリリースにより、AWS と深く統合されたフルマネージドの Docker 体験で、コンテナを大規模にデプロイできるようになりました。また、マネージド Kubernetes を提供する Amazon Elastic Kubernetes Service (EKS)、AWS Fargate のリリースにより、インフラストラクチャを管理せずにコンテナの実行ができるようになりました。私たちはお客様のためにこれからも革新を続けていきます。 Red Hat OpenShift を使用して AWS でコンテナを実行するお客様も多く、OpenShift をデプロイするにあたり AWS マネージドサービスで得られるセキュリティ、スケーラビリティ、信頼性を利用したいという声が頻繁に寄せられています。2008 年以降、Red Hat と AWS のコラボレーションにより AWS で簡単に Red Hat Enterprise Linux を実行できるようになりました。私たちはさらにコラボレーションを拡大し、今年の後半には新たにマネージド Red Hat OpenShift サービスをリリースする予定です。 Red Hat とのコラボレーションにより、今年後半よりこのマネージド型 Red Hat OpenShift を提供できることを非常に嬉しく思います。また、こちらでサインアップすると、最新情報の通知を受け取れます。今年後半の一般提供に向けて、今後も詳細情報をお届けしていきます。
5,18 MAY 2020,変化する時代におけるスケーリングの冒険 | Amazon Web Services ブログ,﻿ 皆さんがどうだったのかは知る由もありませんが、私にとっての直近の 2 か月は、COVID-19 の蔓延によって、混乱状態にありました。 3 月上旬、デンマーク、フィンランド、スウェーデンに 1 週間の北欧旅行に出かけていた私のもとに、可能な場合には私と私の同僚が在宅勤務を行うようにとの連絡が Amazon からありました。私は旅行を終えてシアトルに戻り、この変化する時代に適応するために最善を尽くしました。 その後数週間で、予定されていた旅行のいくつかがキャンセルされたほか、同僚やお客様との対面の会議がすべて Amazon Chime ビデオ通話に置き換えられました。また、私たちは、AWS の最新情報をホームオフィスから記録することにしました。わずか 2 週間で、使用率は COVID-19 以前の平均よりも 300% 急上昇しました。2020 年 3 月のトラフィックの急増により、当社は、AWS を利用してスケールアップすることとしました。当社は、AWS とのパートナーシップに感謝しています。この要求を満たすために、当社のコントロールプレーンサービスを非常に迅速にスケーリングする必要がありました。 Pinterest – 何十億ものピン 視覚的な発見のためのエンジンである Pinterest は、増え続ける聴衆のニーズを満たすためにスケーリングされてきました。
6,18 MAY 2020,AWS が NVIDIA A100 Tensor コア GPU ベースの Amazon EC2 インスタンスの提供を開始 | Amazon Web Services ブログ,﻿ 数万人もにおよぶ AWS のお客様が、機械学習 (ML) アプリケーションの構築を AWS に依存しています。AWS を使用して、Airbnb や Pinterest などのお客様は検索の推奨事項を最適化しています。また、Lyft や Toyota Research Institute は自動運転車プログラムを開発し、Capital One や Intuit は AI を利用した顧客アシスタントを構築およびデプロイしています。 AWS は、新興企業だけでなく大企業にも、さらに、初心者から ML 専門開発者に至るまで、あらゆるタイプのお客様に適した ML サービスと AI サービスを幅広くかつ深いポートフォリオで提供しています。このポートフォリオの基本的なコンポーネントには AWS のコンピューティング、ネットワーキング、ストレージサービスが含まれており、これらを使って、あらゆる規模の ML アプリケーションに強力かつコスト効率の高いインフラストラクチャを提供しています。さらに、Amazon EC2 P3dn.24xlarge インスタンスを介して、業界最高のパフォーマンスモデルのトレーニング GPU プラットフォームもクラウドで提供しています。これらのインスタンスは、それぞれ 32 GB のメモリを備えた 8 個の NVIDIA V100 Tensor コア GPU、96 個のカスタム Intel® Xeon® Scalable (Skylake) vCPU、業界初のインスタンスあたり 100 Gbps のネットワーク帯域幅、Elastic Fabric Adapter (EFA) を介した高性能で低レイテンシーのネットワークファブリックを装備しています。 すべての ML モデルが同じであるとは限りません。モデルが異なると、ハードウェアアクセラレーションのレベルも異なります。 Geoff Murase は AWS EC2 加速化コンピューティングインスタンスのシニアプロダクトマーケティングマネージャーで、Graphics Processing Units (GPUs) や Field Programmable Gate Arrays (FPGAs) といったハードウェアベースのコンピューティングアクセラレーターへのアクセスを提供することで、お客様が自身のコンピューティングニーズに対応できるようにするお手伝いをしています。
7,15 MAY 2020,Amazon Personalize を使用してパーソナライズされたクーポンの推奨事項により、顧客エンゲージメントとロイヤルティを向上 | Amazon Web Services ブログ,このブログ記事は、ロッテマートのビッグデータアナリストを務める Sungoh Park によるゲストの記事です。彼の説明によれば、「ロッテ株式会社の一部門であるロッテマートは、さまざまな食料品、衣料品、玩具、電子機器、およびその他の商品を販売する韓国の大手小売業者です」 今日の消費者は、多くの選択肢から日用品を購入できます。ハイパーマーケット、e コマース、コンビニエンスストア、スーパーマーケットなどの複数のチャネルで買い物をすることができます。韓国のハイパーマーケットであるロッテマートは、Amazon Personalize を使用してエンゲージメントを高め、新製品の購入率を高め、最終的に顧客忠誠心をさらに築き上げるために、頻繁にパーソナライズされた推奨事項を顧客に提供します。ただし、最適な顧客体験を提供するために、ハイパーマーケットでは顧客にすべての新製品を薦めることはできません。 さらに、新しいオファーに統計的ターゲットマーケティングエンジンを構築して維持するには時間がかかります。そのため、ロッテマートは Amazon Personalize の探索を始めました。 製品メタデータの統合により、推奨事項が大幅に改善されました。このようにして、タスクに最適なレシピを見つけることができます。 次のスクリーンショットは、Amazon Personalize の M クーポンモバイルアプリと推奨事項クーポンを示しています。
8,15 MAY 2020,Amazon CloudWatch での Prometheus メトリクスの使用 | Amazon Web Services ブログ,Imaya Kumar Jagannathan、Justin Gu、Marc Chéné、および Michael Hausenblas 今週の初めに、AWS は CloudWatch Container Insights での Prometheus メトリクスモニタリングの公開ベータ版サポートを発表しました。この記事では、ユーザーがプロビジョニングする AWS クラスター上の Amazon Elastic Kubernetes Service (EKS) および Kubernetes で、コンテナ化されたワークロードに新しい Amazon CloudWatch 機能を使用する方法をご紹介します。 Prometheus は Cloud Native Compute Foundation (CNCF) の卒業プロジェクトで、アクティブで大きなプラクティショナーコミュニティを持つ人気のオープンソースモニタリングツールです。Amazon CloudWatch Container Insights は、コンテナ化されたアプリケーションからの Prometheus メトリクスの検出と収集を自動化します。これは、カスタム設定された CloudWatch Prometheus エージェントを使って実行します。YAML ファイルの cwagentconfig.json セクションにある以下の設定は、CloudWatch エージェントがアプリケーションからスクレイプするメトリクスを示しています。 すべてが設定されたところで、以下のコマンドを使ってサンプルアプリケーションと CloudWatch Prometheus エージェントを Kubernetes クラスターにデプロイします。 この時点で、オプションとして Kubernetes クラスターで CloudWatch Container Insights を有効化できることに注意してください。  CloudWatch Container Insights は、Kubernetes クラスターからのパフォーマンスメトリクスに基づいて自動ダッシュボードをパブリッシュします。  CloudWatch Container Insights が有効化されているので、リソース から、コンポーネントを含めた Kubernetes クラスタートポロジを表示するマップビューにアクセスできます。
9,15 MAY 2020,EC2 の値下げ – EC2 Instance Savings Plans と標準リザーブドインスタンス | Amazon Web Services ブログ,標準リザーブドインスタンスまたは EC2 Instance Savings Plans の使用を計画している Amazon Elastic Compute Cloud (EC2) のお客様のための値下げについてお伝えできることを嬉しく思います。価格の変更はすでに発効しているため、ニュース RI または新しい EC2 Instance Savings Plans を購入する人は誰でも、値下げ後の価格を利用できます。 当社のエンジニアリングへの投資が、当社の規模および定評のあるキャパシティー管理能力と相まって、コスト削減の機会を特定し、その効果をお客様に享受いただくことを可能にしました。 ご利用いただける値下げは、選択したリージョン、採用する期間 (1 年または 3 年)、そして、最終的には、契約でコミットするインスタンスファミリーに基づきます。以前に支払っていた金額の 1% から最大 18% までの金額の値下げが適用されます。以下では、M5、C5、および R5 のインスタンスタイプ全体の節約のスナップショットを示しましたが、C5n、C5d、M5a、M5n、M5ad、M5dn、R5a、R5n、R5d、R5ad、R5dn、T3、T3a、Z1d、および A1 のインスタンスタイプについても料金が引き下げられています。 いくつかご注意いただきたい点を挙げます。まず、この値下げは、コンバーティブルリザーブドインスタンス、Compute Savings Plans、またはオンデマンドインスタンスについて利用できません。2 つ目として、Windows インスタンスでは、関連するライセンスのため、異なる値下げが適用されます。 値下げは、すべての地域ですぐにご利用いただけます。
